,FR-CRC,AT-CRC,CN-CRC,US-CRC,DE-CRC
CCIS41548810ST-4-0,0.4986416545682627,0.4005928936636069,0.6014441928932757,0.5016830524194953,0.5016800693532292
CCIS41692898ST-4-0,0.02418528371198516,0.40690912978109933,0.6016756577492137,0.4997258150860495,0.49953990570482415
CCIS44093303ST-4-0,0.6976151345217654,0.4030306290465083,0.6084898935737764,0.4971961769435942,0.5173777274353297
CCIS44757994ST-4-0,0.40777509908353543,0.41924766814728004,0.6039742217734938,0.5044982052326221,0.49859664132706627
CCIS45571137ST-3-0,0.08477586846054709,0.4071582247350915,0.6006665351695001,0.49738207148664515,0.49925663140330817
CCIS45793747ST-4-0,0.15391865767370766,0.40102473870928634,0.5995406250312323,0.5003747050155757,0.49884541303953805
CCIS46047672ST-4-0,0.8335512594363983,0.4028854176053493,0.6029976586217075,0.5021425622780937,0.5080589848404051
CCIS46467422ST-4-0,0.08852707347085209,0.39877366142196574,0.598538317556169,0.4996519374287185,0.5005477407036477
CCIS47284573ST-4-0,0.23374200240840426,0.39964571394439197,0.6033827680371627,0.49752157299840055,0.4979603878744941
CCIS48174381ST-4-0,0.3067761035424396,0.40086290131033603,0.5974633204407674,0.49987754545484336,0.49787419725160015
CCIS48725289ST-4-0,0.007102815572324386,0.4006996481439183,0.5985752466835381,0.49947077125416756,0.4976777138185177
CCIS50003399ST-4-0,0.030947349936987494,0.3998967522065735,0.5970052604541567,0.5011068759493675,0.49881844974730954
CCIS50148151ST-4-0,0.9640957507075669,0.40360277318273424,0.6072471185223999,0.5005372193209952,0.4982055509785336
CCIS50471204ST-4-0,0.02459288760892776,0.40337727968536746,0.6049623112649357,0.4976923840345886,0.50143776324097
CCIS51595129ST-4-0,0.7005047907448336,0.40156684372922047,0.5987264437681185,0.4982899819094816,0.4985524894184212
CCIS52370277ST-4-0,0.9114263873209756,0.4020383132503881,0.6039054351258735,0.502538479477048,0.49908874769401074
CCIS53043478ST-4-0,0.7041987815433071,0.40251206108789817,0.6080933199132644,0.5002375271757424,0.5006629366939301
CCIS53355328ST-4-0,0.18982394145315667,0.40082884310797096,0.6038329069313327,0.5001234297930346,0.5009132237364361
CCIS55230578ST-4-0,0.323032369211379,0.4038717432075523,0.6041686499939325,0.5009987020788186,0.5000504237797825
CCIS58234805ST-4-0,0.92071969855912,0.4065487026394952,0.6072680006212746,0.5009874747182379,0.4997873520284697
CCIS59132091ST-4-0,0.16205211981710982,0.4003951036541971,0.6004839301846175,0.492268416087942,0.49197177176460716
CCIS61287323ST-4-0,0.18871649533776255,0.4136754400118728,0.6035738560255584,0.5035222594441691,0.49451593588265275
CCIS62605362ST-3-0,0.13781170984069713,0.40429967051691956,0.6014157618252525,0.49961272421671704,0.499090219899515
CCIS62794166ST-4-0,0.682438281861311,0.4048466238670174,0.6015503830319265,0.5013171787633975,0.49935091420386296
CCIS63448910ST-4-0,0.23320489724064405,0.40417436208268365,0.6008741384845556,0.49687927835958606,0.5039093011772874
